compound_stem,SMILES,compound_name,pubchem_cid,kegg_id
A00234308,Cc1ccc(o1)C(=O)N1CCOC2CCC1C2Oc1ncccc1F,NA,NA,NA
A00243300,O=C(CN1CCCC1c1ccc2OCCOc2c1)NC(=O)Nc1ccccc1,t5601760,NA,NA
A00303322,CCOC(=O)C1CCCN(C1)C1CCN(CC1)Cc1onc(n1)Cc1ccccc1,ambcb13634366,NA,NA
A00305620,COC(=O)C1SCC2N1C(=O)CN(Cc1ccc(F)cc1)C2=O,"methyl 7-(4-fluorobenzyl)-5,8-dioxohexahydro[1,3]thiazolo[3,4-a]pyrazine-3-carboxylate",NA,NA
A00324255,Cc1ccc(CS(=O)(=O)N2CCCC3(CCCC(=O)N3CC=C)C2)cc1,NA,NA,NA
A00329786,Cc1ccc(nn1)N1CCC2(CC1)NC(=O)CC2c1cnn(C)c1,NA,NA,NA
A00331864,COc1ccc2N(C)C(=O)C(NC(C)=O)c2c1,ac1lddiy,NA,NA
A00342698,Clc1cccc(NC(=O)C2=NOC3(C2)CCCN(C3)S(=O)(=O)c2ccccc2)c1,NA,NA,NA
A00347322,CC1N(CC2CC2)C(=O)COC11CCN(CC1)Cc1ccsc1,NA,NA,NA
A00353073,CC1C=NC(=N1)S(=O)(=O)N1CC[C@@H]2[C@H]1c1cc(ccc1N(C)[C@@H]2CO)-c1ccc(F)cc1,brd-a00353073-001-01-0,NA,NA
A00366875,CN(C)C(=O)CC1CC2(CCN(CC2)C(=O)Nc2cccc(C)c2)Oc2ccccc12,NA,NA,NA
A00371140,CC(NC(=O)CCNS(=O)(=O)c1ccccc1)c1ccccc1,stk348502,NA,NA
A00375616,OCCN1CC2(C1)CCC(O2)C(=O)Nc1cccc(F)c1,NA,NA,NA
A00406750,Cc1ccc(CN2CCCC3(CC(CO3)n3ccnc3)C2)o1,NA,NA,NA
A00408057,COCC1CCC2(CCN(CC2)S(C)(=O)=O)N1CC1CC1,NA,NA,NA
A00420742,CC(C)CC(NS(=O)(=O)c1ccc2n(C)c(=O)oc2c1)C(=O)NCc1cccnc1,smr000094971,NA,NA
A00433200,CC(C)CN1C[C@@H]2CCN(CC[C@H]2S1(=O)=O)C(=O)C1CCCO1,NA,NA,NA
A00441873,CC(C)CN1C2CCN(C2CC1=O)S(=O)(=O)c1cn(C)cn1,NA,NA,NA
A00449636,CC1CC(C)CN(C1)C1CCN(Cc2cccnc2)CC1,ac1mez00,NA,NA
A00481216,Cc1nnn2CC(CNCc3cc(C)cc(C)c3)COCc12,NA,NA,NA
A00487417,CC(C)NC(=O)CC1CC2(CCN(Cc3cnn(C)c3)CC2)Oc2ccccc12,NA,NA,NA
A00517390,CN1CC2(C)CN(CC(C)(C1)C2O)C(c1ccccc1)c1ccccc1,smr000038626,NA,NA
A00525143,Fc1ccccc1N1CCN(CC1)C1CCCN(C1)C(=O)Cn1cccn1,ambcb62762109,NA,NA
A00527063,CC(NC(=O)c1cccs1)C(N1CCN(Cc2ccccc2)CC1)c1cccs1,smr000016592,NA,NA
A00534683,COC1COC2(C1)CCN(CC2)S(=O)(=O)C1CC1,NA,NA,NA
A00556604,CCS(=O)(=O)N1CCC2(C1)CN(C(=O)CN2C)c1cccnc1,NA,NA,NA
A00571590,CC(C)C(CC(=O)NCc1ccco1)c1ccco1,ac1ldgbt,NA,NA
A00574995,CC1N(CC=C)C(=O)COC11CCN(Cc2nccs2)CC1,NA,NA,NA
A00578795,CC(C(O)=O)c1ccc2Sc3ccccc3C(=O)Cc2c1,zaltoprofen,5720,D01547
A00603176,CCn1ncc(C2=NOC(C2)C(=O)N2CCC(CC2)C(N)=O)c1C,st50654977,NA,NA
A00614056,CC1CCc2sc(cc2C1)C(=O)NCc1ccccn1,st50884098,NA,NA
A00622906,Clc1ccc(cc1)\C=N\NC(=O)C1CC11CCC1,NA,NA,NA
A00647355,CC1CCCCN1S(=O)(=O)c1ccc2N(CCc2c1)C(=O)C1CC1,ac1mufpg,NA,NA
A00676226,Cn1nnc2CN(CC(COCC3CC3)c12)C(=O)CS(C)(=O)=O,NA,NA,NA
A00690675,CCN(CC)C(=O)C(C)OC(=O)COc1ccc(Cl)cc1C,(4-chloro-2-methyl-phenoxy)-acetic acid 1-diethylcarbamoyl-ethyl ester,NA,NA
A00695217,COC1CCCN(C1)C(=O)c1cccc(OC2CCN(CC2)S(C)(=O)=O)c1,mls001100541,NA,NA
A00705279,CN(C)CCOCC1CN(Cc2cccc(C)n2)Cc2ccnn2C1,NA,NA,NA
A00707849,COC(=O)C1=C(C)N=C2SC(C)C(=O)N2C1\C=C\c1ccccc1,mls000556899,NA,NA
A00713990,CS(=O)(=O)N1CCCC11CCCN(C1)C(=O)c1ccno1,chembl3442002,NA,NA
A00731808,Cc1cc(C(=O)CN2C(=O)NC(C)(C2=O)c2ccccc2)c(C)n1CC1CCCO1,t5697483,NA,NA
A00736675,O=C(Nc1ccc2OCCOc2c1)C1CCCN(C1)S(=O)(=O)c1c[nH]cn1,mls000117896,NA,NA
A00749257,CN(C)C1COC2(C1)CCN(CC2)S(=O)(=O)C1CC1,NA,NA,NA
A00760609,Cc1ccc(cc1)N1C(=O)C2CCC(C)(C1=O)C2(C)C,ac1mu66d,NA,NA
A00769187,Clc1ccc(NC2N(Cc3ccccc3)C(=O)c3ccccc23)nc1,smr000127826,NA,NA
A00780535,C[C@@H]1CN(CC[C@@]11CCC(O1)C(=O)NCC1CC1)C(=O)Nc1ccccc1,NA,NA,NA
A00823098,CC1CC(N(C(=O)c2ccco2)c2ccccc2)c2ccccc2N1C(=O)c1ccco1,mls000529627,NA,NA
A00835769,O=C(NCCc1ccccc1)C1CN(C(=O)C1)c1ccc2OCCOc2c1,mls001079214,NA,NA
A00848070,CN1C(Cn2cccn2)CC2CN(CCC12)C(=O)c1ccccc1,NA,NA,NA
A00859646,CC1CCCCN1C(=O)Cn1c2ccc(cc2oc1=O)S(=O)(=O)N1CCCC1,mls001110200,NA,NA
A00867772,Cn1ccnc1CN1CCCC2(CC(CO2)Nc2cccc(F)c2)C1,NA,NA,NA
A00868696,CC1CN(CC(C)O1)S(=O)(=O)Cc1ccccc1,"4-(benzylsulfonyl)-2,6-dimethylmorpholine",NA,NA
A00881159,Cc1nc(cs1)C(=O)N1CCc2c([nH]c3ccccc23)C1c1cc(F)ccc1F,mls000735227,NA,NA
A00893579,Fc1cccc(CN2CC3CN(CC3C2)C(=O)c2cccs2)c1,NA,NA,NA
A00918509,CNC(=O)CC1CC2(CCN(CC2)C(=O)COc2ccccc2)Oc2ccccc12,NA,NA,NA
A00936450,FC(F)(F)C1CCCN(C1)C(=O)CNC(=O)c1ccc2ccccc2c1,t6098618,NA,NA
A00942969,OC(=O)C1CCC(=O)N(C2CC2)C1c1ccccc1,1-cyclopropyl-6-oxo-2-phenyl-3-piperidinecarboxylic acid,NA,NA
A00967121,OC(CNCc1ccc(F)cc1)COc1ccc(cc1)C(=O)c1ccccc1,ac1ni34z,NA,NA
A00972910,Fc1ccc(CN2CCCC3(CCN(C3)C(=O)c3ccoc3)C2)cc1F,ambcb91981454,NA,NA
A00986521,CC(C)(C)CC(=O)N1CCC2(CC1)CC(CC(=O)Nc1cccnc1)c1ccccc1O2,NA,NA,NA
A00998833,CN(Cc1c(nc2ccc(Cl)cn12)C(=O)N1CCCCCCC1)C1CCOC1,mls001105790,NA,NA
A01015400,CC(C)NC(=O)N1CCC(C1)c1nnc2ccc(cn12)C(=O)NCCc1ccncc1,NA,NA,NA
A01020820,OC(C(=O)N\N=C\c1ccco1)c1ccccc1,NA,NA,NA
A01044225,CCN1C(=O)C(CC11CCN(CC1)c1ncccn1)c1ccccc1,chembl3440593,NA,NA
A01049363,CC1(CCS(=O)(=O)C1)NC(=O)c1cccc(c1)S(=O)(=O)N1CCCc2ccccc12,mls002182732,NA,NA
A01061495,Nc1nc(=O)c2ncn(C3C[C@H](O)[C@@H](CO)C3=C)c2[nH]1,Entecavir [USAN:INN],170343,NA
A01068611,CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)c1nc(Cl)ccc1Cl,t6153254,NA,NA
A01090193,CCn1cc2CN(CC3CCOCC3)CC(COC)c2n1,NA,NA,NA
A01098288,CC(C)OC(=O)C1=C(C)NC(N)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC1CN(C1)C(c1ccccc1)c1ccccc1,Azelnidipine,65948,D01145
A01099624,O=C(Nc1ccccc1)C1CC(=O)N=C(N1)N1CCCCC1,ac1mgakk,NA,NA
A01127541,CC1=C(CCN2CCN(C3CCCC3)C(CCO)C2)C(C)(C)CCC1,ambcb47091998,NA,NA
A01133581,Fc1ccc(cc1)N1CC(CC1=O)C(=O)NCc1ccc2OCOc2c1,st033998,NA,NA
A01138228,OC(=O)C1CCCCC1C(=O)Nc1nc(cs1)-c1cccs1,bas 09621762,NA,NA
A01144076,CC1CCCN(C1)S(=O)(=O)c1ccc(CN2C(=O)c3cccnc3C2=O)cc1,mls001126408,NA,NA
A01145011,OC[C@H]1O[C@H](C(O)[C@H]1O)n1cccnc1=O,4-Deoxyuridine,46783268,NA
A01158342,Fc1cccc(CN2CC3CN(Cc4cccs4)CC3C2)c1,NA,NA,NA
A01171495,OC(=O)CN1CC2CCC(C1)N2C(=O)c1ccco1,NA,NA,NA
A01171587,Cc1ccc(cc1)S(=O)(=O)CC(N1CCCCC1)c1ccccc1,ac1mgu0k,NA,NA
A01174717,CC(C)CCN1CCNC(=O)C1CC(=O)N(C)CCCN1CCOCC1,ambcb39638192,NA,NA
A01190969,COc1cccc(c1)N1CC(CC1=O)C(=O)Oc1ccc2ccccc2c1,ac1mgib1,NA,NA
A01196956,CC(C)n1cnc2CCN(C(C(=O)Cc3ccncc3)c12)C(=O)c1cccnc1,NA,NA,NA
A01212670,COc1cccc(c1)C(=O)CC(C(O)=O)c1ccc(F)cc1,2-(4-fluorophenyl)-4-(3-methoxyphenyl)-4-oxobutanoic acid,NA,NA
A01221889,COc1cccc(c1)-n1nc(C(=O)N2CC(C)CC(C)C2)c2ccccc2c1=O,ac1nmopl,NA,NA
A01254391,COc1cccc(c1)C(C)N(C)Cc1nc(COc2ccccc2)no1,ambcb55059466,NA,NA
A01258864,[O-][N+](=O)c1ccc(N2CCOCC2)c(c1)C(=O)NC1CCSc2ccccc12,t6191304,NA,NA
A01265588,COc1ccc(NC(=O)c2cccc(c2)N2C(=O)NC3CC2(C)Oc2ccccc32)cc1,f3168-1104,NA,NA
A01286505,Cn1nc(cc1NC(=O)CC(CC(O)=O)c1ccccc1)C1CC1,5-[(3-cyclopropyl-1-methyl-1h-pyrazol-5-yl)amino]-5-oxo-3-phenylpentanoic acid,NA,NA
A01292534,COc1ccc(cc1)C1N(Cc2ccco2)C(=O)CN(C2CCCCC2)C1=O,smr000031750,NA,NA
A01293614,C(C1CN(Cc2ccccn2)Cc2nccn2C1)N1CCCC1,NA,NA,NA
A01314379,O=C(CC1N(Cc2ccc(cc2)-c2ccccc2)CCNC1=O)NC1CCC1,ambcb37089073,NA,NA
A01315431,O=C1NC(Nc2ccccc12)c1ccncc1,"2-pyridin-4-yl-2,3-dihydro-1h-quinazolin-4-one",NA,NA
A01321643,CC(C)N1CCN(CC#N)C2(CCN(C2)C(=O)c2cc(C)n[nH]2)C1=O,NA,NA,NA
A01334285,CN(C(=O)c1cccs1)C1(C)CCS(=O)(=O)C1,ac1mfy5n,NA,NA
A01334461,Cc1onc(c1C(O)c1ccc(F)cc1)-c1ccccc1,ac1md3me,NA,NA
A01335741,NC(=O)C(c1ccc(Cl)cc1)c1ccc(Sc2ccccc2)nn1,2-(4-chlorophenyl)-2-[6-(phenylsulfanyl)-3-pyridazinyl]acetamide,NA,NA
A01338524,O=C(C1CCCN(C1)C(=O)c1ccc(cc1)N1CCOCC1)c1cccc2ccccc12,mls000735470,NA,NA
A01364255,Cc1nc(CN2CCC3(CC(OCCO)c4ccccc34)CC2)cs1,NA,NA,NA
A01365940,CC(C)N1CCC(CC1)N1CCN(Cc2ccc3nsnc3c2)CC1CCO,mls000734638,NA,NA
A01377705,CC1CCCCC1NC(=O)CCCCn1c(=O)[nH]c2ccsc2c1=O,mls000936789,NA,NA
A01397745,CN1CC(C(C1)c1ccc(Cl)cc1)C(=O)c1cccs1,[4-(4-chlorophenyl)-1-methyltetrahydro-1h-pyrrol-3-yl](2-thienyl)methanone,NA,NA
A01421526,COc1ccc(cc1)C1CC1\C(C)=N\OC(=O)c1cccs1,ac1nwkb8,NA,NA
A01439638,CN(C)C(=O)N1CCc2ncnc(C3CCOC3)c2CC1,NA,NA,NA
A01464798,COCc1cnc2C(C)N(CCn12)C(=O)c1cnc(C)cn1,NA,NA,NA
A01470993,CC1(Oc2cccnc2NC1=O)C(=O)NCCCN1CCOCC1,"2-methyl-n-(3-morpholinopropyl)-3-oxo-3,4-dihydro-2h-pyrido[3,2-b][1,4]oxazine-2-carboxamide",NA,NA
A01500433,Cc1ccccc1N1CC2(CCN(C2)C(=O)C2CC2)CC1=O,NA,NA,NA
A01514116,CCCS(=O)(=O)NCC1COCc2c(C)nnn2C1,NA,NA,NA
A01546804,Cc1cccc(n1)N1CCC2(C1)CCCN(C2)C(=O)c1cnccn1,NA,NA,NA
A01563671,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(Cl)c1Cl)C(=O)OC,Clevidipine,153994,D08892
A01580621,CC1CN(CCOCCSc2ccccc2)CC(C)O1,ac1mgwvr,NA,NA
A01606051,Cn1cc(cn1)C1COC2(C1)CCCN(C2)C(=O)c1ccccc1F,NA,NA,NA
A01634199,CC1CC(C)CN(C1)C(=O)COc1ccc(cc1)-c1nnco1,ac1mhayo,NA,NA
A01636364,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,bupivacaine,2474,D01287
A01643497,COC1CC2(CCN(CC(O)=O)CC2)c2cc(F)ccc12,NA,NA,NA
A01659363,C\N=C1/SC(CC(=O)Nc2ccccc2F)C(=O)N1C,mls000103017,NA,NA
A01662948,COCCC(=O)C1Cc2nc(sc2N1C(C)C)-c1cccc(OC)c1,NA,NA,NA
A01682817,COc1ccc(OCc2cc(no2)C(=O)N2CCCC(O)C2)c2ccccc12,ambcb39310423,NA,NA
A01684828,COCCCN(C(C)c1ccncc1)C(=O)Nc1ccccc1,mls000120176,NA,NA
A01702378,CC1Cc2cc(ccc2N1C(C)=O)S(=O)(=O)N1CCCC(C1)C(=O)N1CCCCC1,mls001122709,NA,NA
A01703916,CC(C)(C)NC(=O)CCC1COc2ccccc2O1,ac1mgql0,NA,NA
A01713793,CC(OC(=O)Cc1coc2cc(C)ccc12)C(=O)NCc1ccc2OCOc2c1,smr000068308,NA,NA
A01715163,OC(=O)c1cccnc1SC1CC(=O)NC1=O,bas 06976605,NA,NA
A01717111,Cc1nc2sc(C(N3CCOCC3)c3ccco3)c(O)n2n1,f0631-0401,NA,NA
A01720839,Cc1ccc(NC(=O)N2CCN(CC2)C(=O)C2CCCO2)cc1,ac1mfsz5,NA,NA
A01725140,CN1C(=O)CCC11CCCN(CC1)C(=O)NCc1ccccc1,NA,NA,NA
A01745485,CS(=O)(=O)N1CCCC2(CC(CO2)Nc2nccs2)C1,NA,NA,NA
A01770270,CC1(NC(=O)N(CC(=O)Nc2ccc(cc2)N2CCOCC2)C1=O)c1ccccc1,t0517-7074,NA,NA
A01795395,O=c1n(-c2ccccc2)c(SCC2CCCCO2)nc2ccccc12,t5378437,NA,NA
A01802191,CN1CCC2(CN(C2)C(=O)CCc2ccccc2)OCC1C(O)=O,NA,NA,NA
A01820233,CCN1CCC2(CN(CC22CCN(CC2)C(=O)Cc2ccsc2)C(=O)N(C)C)C1=O,NA,NA,NA
A01827652,COc1ccc(OC)c(c1)S(=O)(=O)N1CCCC1C(=O)N1CCc2ccccc2C1,st076249,NA,NA
A01839977,CN(C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2)C(=O)c1cncc(Br)c1,stk074141,NA,NA
A01845282,COc1ccc(NC(=O)c2ccc(OCC3CCCO3)cc2)cc1OC,mls002166914,NA,NA
A01847135,CC(C)N1CCC(CC1)N1CCN(CC1CCO)C1CCCCC1,ambcb29454269,NA,NA
A01850593,C(OC1CC2CN(Cc3cccs3)CCN2C1)c1ccccn1,NA,NA,NA
A01851918,CC(OCCN(C)C)C(=O)C12CC3CC(CC(C3)C1)C2,ac1mo7fr,NA,NA
A01853173,Cc1cc(C(=O)CN2C(=O)NC3(CCCc4ccccc34)C2=O)c(C)n1Cc1ccccc1,t5320035,NA,NA
A01860037,COCC(=O)N1CCCC2(CCC(=O)N2Cc2cccnc2)C1,NA,NA,NA
A01862735,CCn1nnc2C(COC)N(Cc3c(C)noc3C)CCc12,NA,NA,NA
A01866180,OCCC1CN(Cc2ccc3OCCc3c2)CCN1C1CCCC1,ambcb59003560,NA,NA
A01868141,COCCCN1CC2(CC1=O)CCCCN2C(=O)Cc1ccccc1,NA,NA,NA
A01871953,CSCC(C)N1CCC(CC1)N1CCC(CC1)C(=O)NCc1ccccn1,mls001072635,NA,NA
A01872420,COc1cccc(NC(=O)C(C)OC(=O)CCCNC(=O)c2ccc(Cl)cc2)c1,mls001077554,NA,NA
A01872525,CCOCC1N(CCc2cnn(C)c12)C(=O)CCc1ccccc1C,NA,NA,NA
A01886468,CC(NC(N)=O)C(=O)OCc1ccc(Cl)cc1Cl,t0511-5314,NA,NA
A01900593,Cc1cc(=O)n2nc(sc2n1)N1CCCC(C1)C(=O)NCCc1ccc(Cl)cc1,mls001110452,NA,NA
A01932571,COc1ccc(cc1)N1CC(CC1=O)C(=O)N\N=C\c1c[nH]c2ccccc12,ac1oar23,NA,NA
A01933904,CN1C(Cn2cccn2)CC2CN(CCC12)C(=O)C1CCOC1,NA,NA,NA
A01938631,COc1cc(OC)cc(c1)C(=O)Nc1ccccc1S(=O)(=O)N1CCCC1OC(C)=O,st084235,NA,NA
A01955742,CN(C)C1CCN(C(C1)C(O)=O)C(=O)c1ccncc1F,NA,NA,NA
A01989175,CN(C)c1ccc(cc1)C(=O)NCC(N1CCOCC1)c1cccs1,4-(dimethylamino)-n-(2-morpholin-4-yl-2-thiophen-2-ylethyl)benzamide,NA,NA
A01989413,O=C(NCC1CCCO1)C1CCCN(C1)c1ncccn1,t6170737,NA,NA
A01992877,COCC1COCCC11CCN(CC1)C(=O)CCc1ccccc1C,chembl3442901,NA,NA
A01996366,CN1CCN(CC1)C(c1ccc(F)cc1)c1ccc2cccnc2c1O,f0815-0044,NA,NA
A02012208,OC(C(N1CCOCC1)c1ccccc1)c1ccc(F)cc1,ac1lcy6l,NA,NA
A02015567,COCCN1CCCC11CCCN(C1)C(=O)c1ccno1,NA,NA,NA
A02019837,CN1C(=O)N(C)C2(N(C)C(=O)NC12c1ccccc1)c1ccccc1,mls000037944,NA,NA
A02034709,CC(C)N1C2CN(Cc3ccco3)CC2C[C@@H]1C(=O)NCC1CC1,NA,NA,NA
A02055248,Cn1c2nc(N3CCOCC3)n(CC(O)COc3ccccc3)c2c(=O)[nH]c1=O,mls000030743,NA,NA
A02057108,CN(C)C1CCN(C1)C(=O)c1ccc2ccc(N(C)Cc3ccc(F)cc3)n2c1,NA,NA,NA
A02061216,COc1ccc(cc1)C1C(C(O)=O)c2ccccc2C(=O)N1Cc1ccco1,"2-(2-furylmethyl)-3-(4-methoxyphenyl)-1-oxo-1,2,3,4-tetrahydroisoquinoline-4-carboxylic acid",NA,NA
A02065890,CC1N(CC2CC2)C(=O)COC11CCN(CC1)C(=O)c1ccc[nH]1,NA,NA,NA
A02086537,CC1Cn2c(CCc3ccccc3)nnc2S1,ac1mh8oa,NA,NA
A02099963,CN1CCCC(C1)OC(=O)C(c1ccccc1)c1ccccc1,nsc4357,NA,NA
A02100809,CC(C)C(NS(=O)(=O)c1ccc2nc(C)sc2c1)C(=O)NCc1cccs1,smr000095416,NA,NA
A02109720,COc1ccc(cc1)C1C(C(=O)NCc2ccco2)c2ccccc2C(=O)N1C,ac1ndgy4,NA,NA
A02156370,COCCN1C2(CCN(C2)C(=O)Cc2cccnc2)c2ccccc2S1(=O)=O,NA,NA,NA
A02214146,O=C(CC1NC(=O)NC1=O)Nc1cccc2ccccc12,sbb039651,NA,NA
A02220544,CN1CCc2ccccc2C1C1CCNCC1,"2-methyl-1-(piperidin-4-yl)-1,2,3,4-tetrahydroisoquinoline",NA,NA
A02223393,Oc1ccc(cc1)N1CCN(CC(=O)N(C2CC2)C2CCS(=O)(=O)C2)CC1,t5603042,NA,NA
A02282032,Cc1cc(ccc1NC(=O)C1=NOC2(C1)CCCNC2)C#N,NA,NA,NA
A02283321,Cn1cc(cn1)N1CCC2(CCN(C2)C(=O)c2cccn2C)C1=O,chembl3442803,NA,NA
A02294693,CN(C)C(=O)C1Cn2ccnc2C2(CCN(CC2)S(=O)(=O)c2ccc(F)cc2)O1,NA,NA,NA
A02324337,CCCn1c(nc2ccccc12)C(C)NC(C)=O,st50086316,NA,NA
A02325990,CC(Cn1nc(C)cc1C)C(O)=O,436086-92-9,NA,NA
A02345169,CN(C)C(=O)N1CCC2(CC1)C(CC(=O)N2C)c1cnn(C)c1,chembl3471408,NA,NA
A02364339,O=C(N1CCc2ncnc(C3CCOC3)c2CC1)c1ccoc1,NA,NA,NA
A02381288,CC(Oc1ccccc1)C(=O)Nc1ccc(F)c(c1)S(=O)(=O)N1CCOCC1,mls002162322,NA,NA
A02394850,Cn1cc(cn1)N1C2CCN(C2CC1=O)C(=O)Cc1ccccc1,NA,NA,NA
A02423675,CC1(C)NCCN2C1SCC2=O,chemdiv1_023707,NA,NA
A02458311,CCS(=O)(=O)N1Cc2ccccc2CC1C(=O)OCC(=O)N(C(C)C)C(C)C,t0518-5433,NA,NA
A02473941,COc1ccc(NC2COC3(CCN(Cc4ccsc4)C3)C2)cc1,NA,NA,NA
A02478082,CCC(C)[C@H](NC(=O)NCCCn1ccnc1)C(=O)OC,smr000220766,NA,NA
A02493456,CCC1Sc2ccccc2N(CC(=O)NCc2ccccc2OC)C1=O,mls000521096,NA,NA
A02502222,CN(CC1COCCO1)Cc1nc(no1)C(c1ccccc1)c1ccccc1,ambcb67830931,NA,NA
A02520808,CC1CN(CC(C)O1)C(=O)c1ccc(cc1)C(=O)c1ccccc1,ac1mhauq,NA,NA
A02533491,COCCC(=O)N1CCCC2(CCN(CCN3CCCC3)C2=O)C1,NA,NA,NA
A02534039,Cc1ccc(cc1)S(=O)(=O)N1CCC2(C1)CCCN(CC1CCOCC1)C2,NA,NA,NA
A02541814,CC(C)c1ccc(cc1)S(=O)(=O)N1CC2CCC1C2OCCN(C)C,NA,NA,NA
A02550634,CN(C1CCS(=O)(=O)C1)C(=O)c1ccncc1,t6617641,NA,NA
A02552823,CCOc1ccc(cc1)C1N(C(=O)Cc2cc(OC)c(OC)cc12)c1ccccc1,ac1mfhhj,NA,NA
A02562642,CC(=O)NC(CCS(C)(=O)=O)C(=O)Nc1cc(C)on1,mls000101539,NA,NA
A02583306,CN(C)C(=O)N1CCOCC2(CCN(Cc3nccs3)C2)C1,NA,NA,NA
A02595821,O=C1NC(C(N1)c1ccccc1)c1ccccc1,"4,5-diphenyl-2-imidazolidinone",NA,NA
A02626030,O=C(CC1N(Cc2ccc(cc2)-c2ccccc2)CCNC1=O)NCc1ccccc1,ambcb67660723,NA,NA
A02631541,CN(C)S(=O)(=O)N1CCN(CC(O)COc2ccc(cc2)-c2ccccc2)CC1,st50372574,NA,NA
A02647073,O=C(NC1C(NNC1=O)c1ccccc1)c1ccccc1,mls000567647,NA,NA
A02673618,Cc1nc(nc2c1COCC21CCN(C1)C(=O)c1cccnc1)N1CCOCC1,NA,NA,NA
A02714973,COc1cc(NC(=O)C2CN(CCc3ccccc3)C(=O)C2)cc(OC)c1,mls001080796,NA,NA
A02719368,C=CCN1C(=O)CCCC11CCCN(C1)C(=O)c1cccc2cccnc12,NA,NA,NA
A02721969,COCCN1CCC2(CC(CC(N)=O)c3ccc(F)cc23)CC1,chembl3441730,NA,NA
A02722082,CS(=O)(=O)NCC1OCCc2cn(CC3CC3)nc12,chembl3441935,NA,NA
A02736164,CN(C1CCCCC1)C(=O)CN1C(=O)NC2(CCc3ccccc23)C1=O,t0512-6548,NA,NA
A02743701,COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC\C=C\c1ccccc1,cilnidipine,5282138,D01173
A02780300,O=C(NC1CCCCC1)C1CCCN(C1)S(=O)(=O)c1cccc2cccnc12,mls000673060,NA,NA
A02786371,OC(CN1c2ccccc2Sc2ccccc12)Cn1nnc2ccccc12,mls000110126,NA,NA
A02787876,OC(=O)CCC(=O)N1CC2CCC(C1)N2C(=O)c1ccco1,NA,NA,NA
